id,category,product,condition_grade,age_years,reason_code,question_type,answer
1,appliances,mixer grinder,Good,2,upgrade,what is this product,This product is a 2 year old mixer grinder. It is a Bajaj 750W model with 3 jars included.
1,appliances,mixer grinder,Good,2,upgrade,whats the fault in this,There is no fault in this product. It works perfectly fine. One of the small jars has a minor scratch on the outside but it does not affect performance.
1,appliances,mixer grinder,Good,2,upgrade,why are you selling it,I am selling it because I have purchased a new and bigger mixer grinder for my family. I no longer need this one.
1,appliances,mixer grinder,Good,2,upgrade,whats the product condition,It is in good condition. I have used it regularly for 2 years but maintained it well. All blades are sharp and the motor runs smoothly.
2,baby_kids,baby monitor,Like New,1,outgrown,what is this product,This is a 1 year old baby monitor with video and audio feature. It is a Philips Avent model with night vision camera.
2,baby_kids,baby monitor,Like New,1,outgrown,whats the fault in this,There is absolutely no fault in this. My baby has outgrown the age where we needed monitoring so it has been sitting unused for the past 3 months.
2,baby_kids,baby monitor,Like New,1,outgrown,why are you selling it,I am selling it because my child is now 2 years old and we no longer need a baby monitor. It is just taking up space at home.
2,baby_kids,baby monitor,Like New,1,outgrown,whats the product condition,It is in like new condition. I have used it for only about 8 months and it has no scratches or damage. The camera and screen both work perfectly.
3,electronics,bluetooth earphones,Good,1,upgrade,what is this product,This is a 1 year old boat rockerz 255 bluetooth earphone. It comes with the original charging cable and ear tips.
3,electronics,bluetooth earphones,Good,1,upgrade,whats the fault in this,There is no major fault. The left earbud volume is very slightly lower than the right in certain frequencies but it is barely noticeable during normal use.
3,electronics,bluetooth earphones,Good,1,upgrade,why are you selling it,I got new wireless earbuds as a gift so I do not need these anymore. They are still working well.
3,electronics,bluetooth earphones,Good,1,upgrade,whats the product condition,The condition is good. There is minor wear on the cable near the earbuds from regular use but no cuts or damage. Battery life is still strong at around 5 to 6 hours.
4,fashion,running shoes,Good,1,size_issue,what is this product,These are Nike Revolution 6 running shoes in size 42. I bought them about a year ago from Amazon.
4,fashion,running shoes,Good,1,size_issue,whats the fault in this,There is no fault as such. The sole has normal wear from running but the upper part is clean and the structure is intact. No tears or broken laces.
4,fashion,running shoes,Good,1,size_issue,why are you selling it,They were a bit small for me. I thought size 42 would fit but my feet are slightly wider so I ordered size 43 instead. These barely got used.
4,fashion,running shoes,Good,1,size_issue,whats the product condition,The condition is good. I wore them maybe 4 to 5 times before realising the fit was off. Cleaned them before listing. The insoles are fresh and cushioning is intact.
5,electronics,wifi router,Fair,3,upgrade,what is this product,This is a TP-Link N300 wifi router that is about 3 years old. It supports 2.4GHz band and covers up to 3 rooms.
5,electronics,wifi router,Fair,3,upgrade,whats the fault in this,One of the two antennas has a small crack at the base but it is still attached and working. The wifi range is slightly reduced compared to when it was new but it works fine for basic use.
5,electronics,wifi router,Fair,3,upgrade,why are you selling it,I have upgraded to a dual band router with better speed as I started working from home. This one is no longer needed at my place.
5,electronics,wifi router,Fair,3,upgrade,whats the product condition,The condition is fair. It has 3 years of regular use. The body has some yellowing which is normal for older electronics. Functionally it still connects devices without dropping.
6,baby_kids,stroller,Good,2,outgrown,what is this product,This is a Luvlap baby stroller that is about 2 years old. It is a foldable model with a sunshade canopy and storage basket below.
6,baby_kids,stroller,Good,2,outgrown,whats the fault in this,"The canopy has a very small tear at one corner which does not affect the shade coverage. Otherwise everything including wheels, brakes and harness is fully functional."
6,baby_kids,stroller,Good,2,outgrown,why are you selling it,My child is now 3 years old and has outgrown the stroller completely. It has been sitting in our store room for the past 6 months so I decided to list it.
6,baby_kids,stroller,Good,2,outgrown,whats the product condition,It is in good condition. The fabric seat has been washed and is clean. The folding mechanism works smoothly. All 4 wheels rotate properly with no wobble.
7,appliances,electric iron,Good,2,duplicate,what is this product,This is a Philips dry iron box that is about 2 years old. It is a 1000W model with non stick soleplate.
7,appliances,electric iron,Good,2,duplicate,whats the fault in this,There is no fault in this iron. It heats up perfectly and the soleplate has no scratches. Works exactly as it should.
7,appliances,electric iron,Good,2,duplicate,why are you selling it,My mother gifted us another steam iron so now we have two iron boxes at home. We do not need both so I am selling the older one.
7,appliances,electric iron,Good,2,duplicate,whats the product condition,It is in good condition. Used regularly for about 2 years but maintained properly. The cord is intact with no fraying and the heat settings all work correctly.
8,kitchen,air fryer,Like New,0,gift_duplicate,what is this product,This is a Philips HD9252 air fryer. It is practically brand new as it was received as a wedding gift 4 months ago.
8,kitchen,air fryer,Like New,0,gift_duplicate,whats the fault in this,"There is absolutely no fault. It has been used only 3 to 4 times. It is in pristine condition with original box, manual and accessories all intact."
8,kitchen,air fryer,Like New,0,gift_duplicate,why are you selling it,We already had an air fryer at home and received this one as a duplicate wedding gift. We do not have space for two so we are selling this unused one.
8,kitchen,air fryer,Like New,0,gift_duplicate,whats the product condition,"The condition is like new. Barely used 3 times. No stains, no scratches. The original packing is available. It functions exactly as a new product would."
9,electronics,tablet,Good,2,upgrade,what is this product,This is a Samsung Galaxy Tab A7 lite that is about 2 years old. It is a 32GB wifi model with a 8.7 inch screen.
9,electronics,tablet,Good,2,upgrade,whats the fault in this,There is a very minor hairline scratch on the screen that is only visible in certain light angles. It does not affect the display at all. Functionally it is perfect.
9,electronics,tablet,Good,2,upgrade,why are you selling it,I have bought a newer tablet with better processor for work purposes. This one served me well but I want to upgrade now.
9,electronics,tablet,Good,2,upgrade,whats the product condition,The condition is good. Battery holds about 70 percent of its original capacity which is normal for 2 years of use. Comes with original charger. Screen works without any dead pixels.
10,fashion,winter jacket,Good,2,size_issue,what is this product,This is a Woodland waterproof winter jacket in size large. I bought it 2 winters ago for a trip to Manali.
10,fashion,winter jacket,Good,2,size_issue,whats the fault in this,No fault as such. There is slight pilling on the inner lining which is normal with jackets. The zipper and all buttons work perfectly. No tears or stains.
10,fashion,winter jacket,Good,2,size_issue,why are you selling it,I have lost some weight over the past year and this jacket is now too big for me. I bought a medium size jacket so I am selling this one.
10,fashion,winter jacket,Good,2,size_issue,whats the product condition,It is in good condition. Used for 2 winter seasons but not heavily. I have dry cleaned it once. The waterproof coating still works and the inner padding is full and warm.
11,furniture,study chair,Good,3,relocation,what is this product,This is an ergonomic study chair with adjustable height and lumbar support. I bought it 3 years ago for work from home use.
11,furniture,study chair,Good,3,relocation,whats the fault in this,The height adjustment lever makes a slight clicking sound when adjusted but it holds the height firmly. The armrests have some wear on the padding but are not broken.
11,furniture,study chair,Good,3,relocation,why are you selling it,I am relocating to another city for a new job and it is not practical to carry furniture. I need to sell it before I move next month.
11,furniture,study chair,Good,3,relocation,whats the product condition,The condition is good for a 3 year old office chair. The seat cushion is slightly compressed from long use but still comfortable. All wheels roll smoothly on the floor.
12,appliances,room heater,Good,3,relocation,what is this product,This is an Orpat oil filled room heater. It is a 2500W model that heats up medium to large rooms efficiently. About 3 years old.
12,appliances,room heater,Good,3,relocation,whats the fault in this,No fault in heating performance. There is a small dent on the side panel from when it fell once but it did not affect the functionality at all.
12,appliances,room heater,Good,3,relocation,why are you selling it,I am moving to a warmer city so I will not need a room heater anymore. Rather than store it I thought someone nearby could use it.
12,appliances,room heater,Good,3,relocation,whats the product condition,Good condition overall. The thermostat and all heat settings work properly. I clean it every season. The power cord is in perfect condition with no damage.
13,sports,cycle,Good,2,no_time,what is this product,This is a Hero Sprint 26 inch gear cycle. It is a 21 speed mountain cycle that I bought 2 years ago for weekend rides.
13,sports,cycle,Good,2,no_time,whats the fault in this,"The front brake pads need replacement soon as they are slightly worn. Apart from that the gears shift smoothly, tyres are in good shape and the frame has no bends or damage."
13,sports,cycle,Good,2,no_time,why are you selling it,I have been too busy with work and rarely get time to cycle anymore. It has been sitting unused in my building parking for 6 months so I decided to sell it.
13,sports,cycle,Good,2,no_time,whats the product condition,Good condition. Regular servicing has been done. The seat and handlebar grips are clean. Tyres have good tread left. Just the brake pads need replacement which costs around 100 rupees.
14,electronics,DSLR camera,Good,3,upgrade,what is this product,This is a Canon EOS 1500D DSLR camera body with the 18 to 55mm kit lens. It is about 3 years old. Shutter count is approximately 8000.
14,electronics,DSLR camera,Good,3,upgrade,whats the fault in this,"The camera has a small cosmetic scratch on the bottom plate but there is no damage to the lens mount, sensor or screen. All features work correctly including autofocus and video."
14,electronics,DSLR camera,Good,3,upgrade,why are you selling it,I have upgraded to a mirrorless camera system. I no longer use DSLR format and want someone else to get value from this camera.
14,electronics,DSLR camera,Good,3,upgrade,whats the product condition,"Good condition for its age. Sensor is clean with no dust spots. The kit lens has no fungus or scratches. Comes with original battery, charger and strap. Screen has a protective film on it from day one."
15,baby_kids,baby walker,Good,1,outgrown,what is this product,This is a LuvLap baby walker in red and white colour. My child used it from 7 months to about 14 months. It is roughly 1 year old.
15,baby_kids,baby walker,Good,1,outgrown,whats the fault in this,No fault. All the activity toys on the front tray work fine and make sounds. The height is adjustable and locks properly. Wheels move in all directions smoothly.
15,baby_kids,baby walker,Good,1,outgrown,why are you selling it,My baby has started walking independently now and no longer needs the walker. It is in perfectly usable condition and I thought another family could use it.
15,baby_kids,baby walker,Good,1,outgrown,whats the product condition,Good condition. I have wiped it down and the fabric seat has been washed. No broken parts. The music and light buttons all respond correctly.
16,electronics,smart speaker,Like New,1,duplicate,what is this product,This is an Amazon Echo Dot 4th generation smart speaker. It is about 1 year old and is in fabric charcoal colour.
16,electronics,smart speaker,Like New,1,duplicate,whats the fault in this,Absolutely no fault. Works perfectly. Alexa responds instantly and the sound quality is exactly as expected for this speaker size.
16,electronics,smart speaker,Like New,1,duplicate,why are you selling it,I bought a bigger Echo device with better sound for my living room. I do not need two Echo devices in the same house so selling this smaller one.
16,electronics,smart speaker,Like New,1,duplicate,whats the product condition,Like new condition. The fabric has no stains and there are no scratches on the device. I have factory reset it so it is ready for a new user. Original adapter included.
17,kitchen,pressure cooker,Good,4,upgrade,what is this product,This is a Hawkins Contura 5 litre pressure cooker. It is about 4 years old and has been a reliable kitchen companion.
17,kitchen,pressure cooker,Good,4,upgrade,whats the fault in this,The gasket was replaced 6 months ago so it is fresh. The whistle and safety valve both work properly. There is some discolouration inside from turmeric and regular cooking but no pitting or damage.
17,kitchen,pressure cooker,Good,4,upgrade,why are you selling it,I recently bought an instant pot electric pressure cooker and shifted to that for all cooking. The stove top cooker is now unused in my kitchen.
17,kitchen,pressure cooker,Good,4,upgrade,whats the product condition,Good condition for a 4 year old pressure cooker. The lid seals perfectly and pressure builds as expected. Outside surface has minor scratches from regular stove use. Very much functional.
18,books,engineering textbooks,Good,3,graduated,what is this product,"These are 5 engineering textbooks from my B.Tech Computer Science course. Subjects include data structures, computer networks, operating systems, DBMS and algorithms. About 3 years old."
18,books,engineering textbooks,Good,3,graduated,whats the fault in this,"No fault. These are books. Some pages have my pencil notes in the margins which can be erased. No torn pages, no water damage. All books are complete."
18,books,engineering textbooks,Good,3,graduated,why are you selling it,I have graduated and these books are no longer needed by me. They are still very relevant for current syllabus students so I would rather sell them at a discount than let them gather dust.
18,books,engineering textbooks,Good,3,graduated,whats the product condition,Good condition. Covers have minor wear from being carried in bags but spines are intact. Selling all 5 together as a set at a bundled price.
19,appliances,air cooler,Good,3,ac_installed,what is this product,This is a Symphony Diet 12T personal air cooler. It is about 3 years old with a 12 litre water tank and remote control.
19,appliances,air cooler,Good,3,ac_installed,whats the fault in this,The cooling pads were replaced last summer so they are fresh. The fan runs at all 3 speeds correctly. The remote works fine. There is some lime scale buildup inside the tank which is normal and can be cleaned with vinegar.
19,appliances,air cooler,Good,3,ac_installed,why are you selling it,I have installed a split AC in my room this year so I do not need the air cooler anymore. It is still a great option for someone who needs budget cooling.
19,appliances,air cooler,Good,3,ac_installed,whats the product condition,Good condition. All functions work. The castor wheels at the bottom roll smoothly. I cleaned it before listing. The water tank has no cracks or leaks.
20,sports,cricket kit,Good,2,no_time,what is this product,"This is a junior cricket kit including a Kashmir willow bat, batting pads, helmet, gloves and a kit bag. About 2 years old. Suitable for players aged 14 to 18."
20,sports,cricket kit,Good,2,no_time,whats the fault in this,The bat has a few minor nicks on the edge from regular use which is normal for any bat. The grip is slightly worn. Pads and gloves are clean with no damage. Helmet has all its grilles intact.
20,sports,cricket kit,Good,2,no_time,why are you selling it,My son has grown taller and now needs adult size equipment. This kit was perfect for him for 2 years but he needs a bigger bat and pads now.
20,sports,cricket kit,Good,2,no_time,whats the product condition,Good condition. The bat can be re-gripped for around 50 rupees. All protective gear is usable. The kit bag has a small zip issue on the side pocket but the main compartment zips perfectly.
21,electronics,laptop,Good,3,upgrade,what is this product,"This is a Dell Inspiron 15 3000 series laptop with Intel Core i5 10th gen processor, 8GB RAM and 512GB SSD. About 3 years old."
21,electronics,laptop,Good,3,upgrade,whats the fault in this,"The battery now holds charge for about 3 hours compared to 6 hours when new which is normal ageing. The laptop itself has no hardware issues. Keyboard, touchpad, all ports and screen work perfectly."
21,electronics,laptop,Good,3,upgrade,why are you selling it,"I have bought a higher performance laptop for video editing work. This one is perfectly capable for everyday tasks, browsing, office work and light use."
21,electronics,laptop,Good,3,upgrade,whats the product condition,Good condition. The lid has a small sticker mark where I had put a brand sticker that came off. Freshly formatted with Windows 11 installed. Runs fast and smooth for everyday work.
22,fashion,handbag,Like New,0,color_mismatch,what is this product,This is a Lavie structured handbag in navy blue colour with gold hardware. Bought it 6 months ago from Amazon.
22,fashion,handbag,Like New,0,color_mismatch,whats the fault in this,"No fault at all. I used it only 2 to 3 times. The stitching is perfect, the zipper glides smoothly and the interior is clean with no marks."
22,fashion,handbag,Like New,0,color_mismatch,why are you selling it,I realised the colour does not match my wardrobe as well as I expected. I prefer a more neutral tan or black bag so I am selling this and buying a different colour.
22,fashion,handbag,Like New,0,color_mismatch,whats the product condition,"Like new condition. No scratches on the hardware, no marks on the leather exterior. The inner pockets are clean and unused. Comes with the original dust bag."
23,kitchen,electric kettle,Good,2,duplicate,what is this product,This is a Prestige 1.5 litre electric kettle with auto shutoff and boil dry protection. About 2 years old.
23,kitchen,electric kettle,Good,2,duplicate,whats the fault in this,"No fault. The heating element works perfectly, water boils in under 3 minutes. There is some mineral deposit on the inside heating plate from hard water which is normal and does not affect performance. Can be cleaned with citric acid."
23,kitchen,electric kettle,Good,2,duplicate,why are you selling it,My mother sent us another kettle from her home when she moved in with us. We now have two kettles in the kitchen so selling this extra one.
23,kitchen,electric kettle,Good,2,duplicate,whats the product condition,Good condition. The exterior is clean with no cracks. Lid opens and closes properly. The power cord is in good shape. Auto shutoff works correctly every time.
24,baby_kids,baby cot,Good,2,outgrown,what is this product,This is a Baybee wooden baby cot with adjustable mattress height. It is about 2 years old and supported my child from birth to 18 months.
24,baby_kids,baby cot,Good,2,outgrown,whats the fault in this,One of the side railings has a small chew mark at the top edge which is very common with baby cots. The structure is completely sturdy. All nuts and bolts are tight and secure.
24,baby_kids,baby cot,Good,2,outgrown,why are you selling it,My baby has shifted to a regular bed now. The cot is in perfectly usable condition and I would love for another newborn to use it rather than it sitting unused.
24,baby_kids,baby cot,Good,2,outgrown,whats the product condition,Good condition. The wood has no major damage. The mattress is not included as we used a custom one. The cot assembles and disassembles easily with the included allen key.
25,electronics,gaming console,Good,2,switching_platform,what is this product,This is a Sony PlayStation 4 Slim 1TB console. About 2 years old. Comes with one original DualShock 4 controller and HDMI cable.
25,electronics,gaming console,Good,2,switching_platform,whats the fault in this,The disc drive occasionally takes 2 insertions to read a disc but works once it reads. Digital downloads work perfectly every time. The controller has no stick drift and all buttons respond correctly.
25,electronics,gaming console,Good,2,switching_platform,why are you selling it,I have switched to PC gaming and no longer use the PlayStation. It deserves to be with someone who will actually play on it.
25,electronics,gaming console,Good,2,switching_platform,whats the product condition,Good condition. I cleaned the fan vents regularly so it does not overheat. The HDMI port is firm. The controller grips have minor wear but no peeling. I will factory reset it before handing over.
26,appliances,water purifier,Good,3,relocation,what is this product,"This is a Kent Grand Plus 8 litre RO water purifier. About 3 years old, wall mounted with storage tank. Annual service was done 4 months ago."
26,appliances,water purifier,Good,3,relocation,whats the fault in this,"No functional fault. Filters were replaced during last service. The storage tank, pump and UV lamp are all working. There is some yellowing on the white casing from age but no cracks."
26,appliances,water purifier,Good,3,relocation,why are you selling it,I am relocating to a rented apartment where the landlord already has a water purifier installed. It is not worth carrying this one so I am selling it locally.
26,appliances,water purifier,Good,3,relocation,whats the product condition,Good working condition. Produces clean TDS of around 35 from input of 450. All indicator lights work correctly. New filters cost around 1500 rupees annually. I will share the service history with the buyer.
27,sports,treadmill,Good,2,no_time,what is this product,This is a PowerMax Fitness TDM 98 foldable treadmill. About 2 years old with a 1.5 HP motor. Maximum user weight 90kg.
27,sports,treadmill,Good,2,no_time,whats the fault in this,"The belt needs lubrication soon as it makes a slight squeaking sound at higher speeds. Apart from that the motor, incline settings and all speed controls work perfectly. This is routine maintenance."
27,sports,treadmill,Good,2,no_time,why are you selling it,I joined a gym near my office and have not used the treadmill at home for the past 8 months. It is wasting space in my bedroom and I thought someone else could benefit from it.
27,sports,treadmill,Good,2,no_time,whats the product condition,"Good condition. The running belt has no cracks or fraying. The display shows speed, distance and calorie count accurately. Folds up easily for storage. I will help disassemble for easy transport."
28,fashion,saree,Like New,1,event_specific,what is this product,This is a Kanjivaram silk saree in deep maroon and gold border. Bought it about a year ago for a wedding function. It is a 5.5 metre saree with a matching blouse piece.
28,fashion,saree,Like New,1,event_specific,whats the fault in this,There is absolutely no fault. I wore it once for a wedding and had it dry cleaned professionally after. The silk is lustrous and the zari border is intact with no fraying.
28,fashion,saree,Like New,1,event_specific,why are you selling it,I wore it for a specific wedding event and I am unlikely to wear it again as I have several other sarees. It is too beautiful to sit folded in a cupboard.
28,fashion,saree,Like New,1,event_specific,whats the product condition,"Like new condition. Professionally dry cleaned and stored in the original plastic. The blouse piece is unstitched so it can be customised. No stains, no pulls in the silk fabric."
29,electronics,external hard drive,Good,3,upgrade,what is this product,This is a Seagate Expansion 1TB portable external hard drive. About 3 years old with USB 3.0 connection. It is formatted for Windows.
29,electronics,external hard drive,Good,3,upgrade,whats the fault in this,The drive works perfectly. It has some minor scratches on the casing from being carried around but no dents. Data transfer speeds are normal for a 5400 RPM drive.
29,electronics,external hard drive,Good,3,upgrade,why are you selling it,I have moved to cloud storage and an SSD for my backup needs. This spinning drive is no longer needed. I have formatted it clean before listing.
29,electronics,external hard drive,Good,3,upgrade,whats the product condition,Good condition. I ran a disk health check and it shows no bad sectors. The USB cable is included and works properly. Formatted and ready to use for the new owner.
30,furniture,bookshelf,Good,4,relocation,what is this product,"This is a 5 shelf wooden bookshelf from Pepperfry. About 4 years old, 180cm tall and 60cm wide. It holds approximately 150 to 200 books."
30,furniture,bookshelf,Good,4,relocation,whats the fault in this,The bottom shelf has a minor bow in the middle from carrying heavy books for years but it is structurally fine. The laminate on one edge has peeled slightly but the wood underneath is intact.
30,furniture,bookshelf,Good,4,relocation,why are you selling it,I am moving to a fully furnished apartment so I do not need to carry furniture. The bookshelf has served me well for 4 years and I hope it continues to do the same for the next owner.
30,furniture,bookshelf,Good,4,relocation,whats the product condition,Good condition for 4 years of use. All shelves are level and stable. The back panel is firm. It requires 2 people to carry due to its size. I will help with disassembly if needed.
31,kitchen,sandwich maker,Good,1,dietary_change,what is this product,This is a Bajaj new toastie 4 slice sandwich maker. About 1 year old with non stick grill plates and indicator light.
31,kitchen,sandwich maker,Good,1,dietary_change,whats the fault in this,No fault. The non stick coating is intact on both plates. It heats evenly and the indicator light works correctly. The handle is firm with no wobble.
31,kitchen,sandwich maker,Good,1,dietary_change,why are you selling it,I have switched to a gluten free diet and no longer eat bread or sandwiches. The sandwich maker has barely been used and is just occupying counter space.
31,kitchen,sandwich maker,Good,1,dietary_change,whats the product condition,Good condition. Used maybe 15 to 20 times in a year. Cleaned after every use. Non stick plates show no scratches from metal utensils. Power cord is undamaged.
32,sports,yoga mat,Good,1,upgrade,what is this product,"This is a Boldfit 6mm thick non slip yoga mat in navy blue. About 1 year old, 183cm long and 61cm wide."
32,sports,yoga mat,Good,1,upgrade,whats the fault in this,The mat has normal compression in the centre area from regular use but the grip is still very good. The edges have not started to fray. No tears or cuts anywhere on the surface.
32,sports,yoga mat,Good,1,upgrade,why are you selling it,I have bought a wider and thicker 8mm mat with better cushioning for my knees. This 6mm mat is still good for anyone starting out with yoga or pilates.
32,sports,yoga mat,Good,1,upgrade,whats the product condition,Good condition. I wash it after every few sessions so it is clean and odour free. The strap for carrying is intact. Still provides good grip on both sides.
33,electronics,wireless mouse,Like New,0,incompatible,what is this product,This is a Logitech M185 wireless mouse with a 2.4GHz USB receiver. Bought it 5 months ago. It runs on a single AA battery.
33,electronics,wireless mouse,Like New,0,incompatible,whats the fault in this,"No fault whatsoever. The mouse works perfectly. The scroll wheel, all buttons and the tracking are responsive. I am selling it for a different reason entirely."
33,electronics,wireless mouse,Like New,0,incompatible,why are you selling it,I bought this for my desktop but realised my laptop already has excellent trackpad support and I use it more on the go. A wireless mouse is not practical for me. It barely got used.
33,electronics,wireless mouse,Like New,0,incompatible,whats the product condition,"Like new condition. Used less than 10 times. No scratches, no wear on the buttons. The USB receiver is safely attached under the mouse in its slot. Original battery still lasts well."
34,baby_kids,breast pump,Good,1,no_longer_needed,what is this product,This is a Philips Avent single electric breast pump. About 1 year old. Used during my baby's first 8 months of feeding.
34,baby_kids,breast pump,Good,1,no_longer_needed,whats the fault in this,The pump mechanism works perfectly. The suction motor is strong and the settings are all functional. I have replaced all silicone parts including valves and membranes with new ones before listing so it is hygienic.
34,baby_kids,breast pump,Good,1,no_longer_needed,why are you selling it,My baby has been weaned off breast milk now and is on solids and formula. I no longer need the pump and it is too expensive to just discard.
34,baby_kids,breast pump,Good,1,no_longer_needed,whats the product condition,Good condition. All parts that contact milk have been replaced and sterilised. The motor housing has no damage. The power adapter is working. I can share the instruction manual.
35,electronics,projector,Good,2,upgrade,what is this product,This is a Mi Smart Compact projector 2 years old. It supports 1080p input with Android TV built in and has a lamp life of about 15000 hours. Current usage is approximately 800 hours.
35,electronics,projector,Good,2,upgrade,whats the fault in this,"No fault. Picture and sound quality are excellent. The remote works. All ports including HDMI, USB and headphone jack are functional. The lamp has many years of life remaining."
35,electronics,projector,Good,2,upgrade,why are you selling it,I have upgraded to a laser projector with brighter output for my home theatre setup. This projector is perfectly capable for normal home use and movie nights.
35,electronics,projector,Good,2,upgrade,whats the product condition,Good condition. The lens has no scratches and the image is sharp. Comes with original remote and power cable. The projector body has minor dust on top but no damage. Ready to use out of the box.
36,appliances,washing machine,Good,4,upgrade,what is this product,This is a Samsung 6.5kg fully automatic top load washing machine. About 4 years old. Model WA65A4002VS with multiple wash programs.
36,appliances,washing machine,Good,4,upgrade,whats the fault in this,The machine had a minor issue with the lid sensor 6 months ago which was repaired by a Samsung technician. Since then it has been working perfectly. No current faults. All wash cycles complete properly.
36,appliances,washing machine,Good,4,upgrade,why are you selling it,I have bought a front load washing machine with higher capacity as my family has grown. The top load served us well for 4 years but we needed more capacity.
36,appliances,washing machine,Good,4,upgrade,whats the product condition,Good working condition. The drum is clean with no mould. Lint filter is cleaned regularly. Water inlet and drain hoses are in good shape. The machine vibrates normally during spin and does not move excessively.
37,furniture,dining table,Good,3,relocation,what is this product,This is a 4 seater wooden dining table with a glass top. About 3 years old. The table top is a 8mm tempered glass on a sheesham wood frame.
37,furniture,dining table,Good,3,relocation,whats the fault in this,The glass top has two minor scratches near one edge from cutlery being dragged. The wood frame has no damage and all joints are tight. The glass is not cracked.
37,furniture,dining table,Good,3,relocation,why are you selling it,I am moving to a smaller apartment and the dining area is compact. I need a foldable dining table. This solid table will not fit in the new space.
37,furniture,dining table,Good,3,relocation,whats the product condition,Good condition for 3 years of daily use. The table is sturdy with no wobble. The chairs are NOT included. Requires a vehicle like a tempo or large SUV for transport. I can help disassemble the legs.
38,kitchen,rice cooker,Good,2,gift_duplicate,what is this product,This is a Pigeon by Stovekraft 1.8 litre electric rice cooker. About 2 years old with a glass lid and keep warm function.
38,kitchen,rice cooker,Good,2,gift_duplicate,whats the fault in this,No fault in the cooker. It cooks rice perfectly every time. The non stick inner pot has very minor surface marks from the rice ladle but the coating is intact.
38,kitchen,rice cooker,Good,2,gift_duplicate,why are you selling it,We received an identical rice cooker as a housewarming gift so now we have two. We decided to keep the newer gift and sell the older one.
38,kitchen,rice cooker,Good,2,gift_duplicate,whats the product condition,"Good condition. Inner pot, steam vent and lid are all cleaned and ready. The keep warm switch works correctly. Power cord has no damage. Comes with the original measuring cup and ladle."
39,sports,badminton racket set,Good,2,no_time,what is this product,This is a Yonex Muscle Power 2 badminton racket set with 2 rackets and a carrying case. About 2 years old. Used for casual evening play at the colony court.
39,sports,badminton racket set,Good,2,no_time,whats the fault in this,Both rackets have minor grip wear which is normal. One racket had a small chip on the frame edge but it does not affect the string tension or play quality. Strings are intact on both rackets.
39,sports,badminton racket set,Good,2,no_time,why are you selling it,Our evening badminton group disbanded after a few members relocated. I have not played in over 8 months and do not see myself starting again soon.
39,sports,badminton racket set,Good,2,no_time,whats the product condition,Good condition. Strings have normal tension for casual play. Grips can be replaced for 50 rupees each if desired. The carrying case zips properly and has no tears. Both rackets are usable as is.
40,electronics,dash cam,Like New,1,car_sold,what is this product,This is a Viofo A119 mini dash cam with GPS. About 1 year old. Records in 1080p Full HD with a wide angle 160 degree lens.
40,electronics,dash cam,Like New,1,car_sold,whats the fault in this,"Absolutely no fault. The camera records clearly, night vision works well and the loop recording function operates as expected. GPS tracking is accurate."
40,electronics,dash cam,Like New,1,car_sold,why are you selling it,I have sold my car and am using public transport for the next few months. I will not need a dash cam until I buy a new car and by then I may want a newer model.
40,electronics,dash cam,Like New,1,car_sold,whats the product condition,"Like new condition. Used for about 11 months in the car. Lens is clean with no scratches. Comes with the 3M mount, power cable and original box. 32GB memory card also included."
